projectile,projectile_mass,target,target_mass,normalized_energy
H,1.0,He,4.002602,0.001
H,1.0,He,4.002602,0.0010974987654930556
H,1.0,He,4.002602,0.0012045035402587824
H,1.0,He,4.002602,0.0013219411484660286
H,1.0,He,4.002602,0.0014508287784959402
H,1.0,He,4.002602,0.0015922827933410922
H,1.0,He,4.002602,0.001747528400007683
H,1.0,He,4.002602,0.0019179102616724887
H,1.0,He,4.002602,0.00210490414451202
H,1.0,He,4.002602,0.0023101297000831605
H,1.0,He,4.002602,0.0025353644939701114
H,1.0,He,4.002602,0.0027825594022071257
H,1.0,He,4.002602,0.0030538555088334154
H,1.0,He,4.002602,0.003351602650938841
H,1.0,He,4.002602,0.0036783797718286343
H,1.0,He,4.002602,0.004037017258596553
H,1.0,He,4.002602,0.004430621457583882
H,1.0,He,4.002602,0.004862601580065354
H,1.0,He,4.002602,0.005336699231206312
H,1.0,He,4.002602,0.005857020818056668
H,1.0,He,4.002602,0.006428073117284319
H,1.0,He,4.002602,0.007054802310718645
H,1.0,He,4.002602,0.007742636826811269
H,1.0,He,4.002602,0.008497534359086447
H,1.0,He,4.002602,0.0093260334688322
H,1.0,He,4.002602,0.010235310218990263
H,1.0,He,4.002602,0.011233240329780276
H,1.0,He,4.002602,0.012328467394420665
H,1.0,He,4.002602,0.013530477745798075
H,1.0,He,4.002602,0.01484968262254465
H,1.0,He,4.002602,0.016297508346206444
H,1.0,He,4.002602,0.01788649529057435
H,1.0,He,4.002602,0.019630406500402715
H,1.0,He,4.002602,0.021544346900318846
H,1.0,He,4.002602,0.023644894126454083
H,1.0,He,4.002602,0.025950242113997372
H,1.0,He,4.002602,0.02848035868435802
H,1.0,He,4.002602,0.03125715849688237
H,1.0,He,4.002602,0.03430469286314919
H,1.0,He,4.002602,0.037649358067924694
H,1.0,He,4.002602,0.04132012400115339
H,1.0,He,4.002602,0.04534878508128584
H,1.0,He,4.002602,0.049770235643321115
H,1.0,He,4.002602,0.05462277217684343
H,1.0,He,4.002602,0.05994842503189412
H,1.0,He,4.002602,0.06579332246575682
H,1.0,He,4.002602,0.07220809018385467
H,1.0,He,4.002602,0.07924828983539177
H,1.0,He,4.002602,0.08697490026177834
H,1.0,He,4.002602,0.09545484566618342
H,1.0,He,4.002602,0.10476157527896651
H,1.0,He,4.002602,0.11497569953977368
H,1.0,He,4.002602,0.1261856883066021
H,1.0,He,4.002602,0.1384886371393873
H,1.0,He,4.002602,0.15199110829529347
H,1.0,He,4.002602,0.1668100537200059
H,1.0,He,4.002602,0.18307382802953698
H,1.0,He,4.002602,0.2009233002565048
H,1.0,He,4.002602,0.22051307399030456
H,1.0,He,4.002602,0.24201282647943834
H,1.0,He,4.002602,0.26560877829466867
H,1.0,He,4.002602,0.29150530628251786
H,1.0,He,4.002602,0.31992671377973847
H,1.0,He,4.002602,0.35111917342151344
H,1.0,He,4.002602,0.3853528593710531
H,1.0,He,4.002602,0.4229242874389499
H,1.0,He,4.002602,0.4641588833612782
H,1.0,He,4.002602,0.5094138014816381
H,1.0,He,4.002602,0.5590810182512228
H,1.0,He,4.002602,0.6135907273413176
H,1.0,He,4.002602,0.6734150657750828
H,1.0,He,4.002602,0.7390722033525783
H,1.0,He,4.002602,0.8111308307896873
H,1.0,He,4.002602,0.8902150854450392
H,1.0,He,4.002602,0.9770099572992257
H,1.0,He,4.002602,1.0722672220103242
H,1.0,He,4.002602,1.1768119524349991
H,1.0,He,4.002602,1.291549665014884
H,1.0,He,4.002602,1.4174741629268062
H,1.0,He,4.002602,1.5556761439304723
H,1.0,He,4.002602,1.7073526474706922
H,1.0,He,4.002602,1.873817422860385
H,1.0,He,4.002602,2.0565123083486534
H,1.0,He,4.002602,2.2570197196339215
H,1.0,He,4.002602,2.4770763559917115
H,1.0,He,4.002602,2.718588242732943
H,1.0,He,4.002602,2.9836472402833403
H,1.0,He,4.002602,3.2745491628777317
H,1.0,He,4.002602,3.5938136638046294
H,1.0,He,4.002602,3.94420605943766
H,1.0,He,4.002602,4.328761281083062
H,1.0,He,4.002602,4.750810162102798
H,1.0,He,4.002602,5.21400828799969
H,1.0,He,4.002602,5.72236765935022
H,1.0,He,4.002602,6.280291441834259
H,1.0,He,4.002602,6.892612104349702
H,1.0,He,4.002602,7.56463327554629
H,1.0,He,4.002602,8.302175681319753
H,1.0,He,4.002602,9.111627561154895
H,1.0,He,4.002602,10.0
